step,allocator,blended_action,aggressive_action,balanced_action,conservative_action
31,vol_regime,0.16036676,0.9251828,0.2659036,-0.019870996
32,vol_regime,0.29037255,0.93503964,0.3301927,0.16301799
33,vol_regime,0.32789373,0.95135105,0.31766212,0.22909999
34,vol_regime,0.4346704,0.9890132,0.33231354,0.39345837
35,vol_regime,0.5690986,0.9981377,0.33472896,0.61477685
36,vol_regime,0.05086883,0.96914816,0.20509267,-0.17928964
37,vol_regime,0.42829704,0.73877835,0.44520533,0.368096
38,vol_regime,0.007094598,0.17487228,0.22589648,-0.13026929
39,vol_regime,0.42488268,0.652724,0.37243938,0.41313076
40,vol_regime,0.32060662,0.55636835,0.4819684,0.2006321
41,vol_regime,0.9167199,0.7965059,0.848863,0.97068405
42,vol_regime,0.79434466,0.72904634,0.56303406,0.92088306
43,vol_regime,0.66844785,0.52444005,0.17775726,0.93779445
44,vol_regime,-0.31659526,-0.039612353,-0.20283043,-0.4196415
45,vol_regime,0.31940004,-0.9302766,0.5595188,0.40762007
46,vol_regime,-0.008080316,-0.85115236,-0.24050039,0.24864173
47,vol_regime,0.7930159,0.8082613,0.7271564,0.8234048
48,vol_regime,0.5207823,0.65397596,-0.07925475,0.79860187
49,vol_regime,0.17688331,-0.23383969,-0.42066967,0.54411364
50,vol_regime,0.38805202,-0.3087349,0.68037057,0.35802388
51,vol_regime,0.25654992,-0.98786443,0.28778374,0.4483354
52,vol_regime,0.17164922,-0.96400374,0.37770343,0.25789762
53,vol_regime,0.08397414,-0.873655,-0.10251528,0.3368237
54,vol_regime,-0.44013837,-0.94727564,-0.6667875,-0.24229091
55,vol_regime,-0.077208824,-0.84346753,0.2176218,-0.09691435
56,vol_regime,0.12284042,-0.41598952,0.17457342,0.1867789
57,vol_regime,0.18133682,-0.45593363,0.5971403,0.079646826
58,vol_regime,0.30770084,-0.4468614,0.4535663,0.36052847
59,vol_regime,0.4216595,0.49137032,0.8057207,0.21801043
60,vol_regime,0.37697643,0.4502324,0.7868197,0.15984547
61,vol_regime,0.5496723,0.5751438,0.3838395,0.62834346
62,vol_regime,0.39139283,0.61464524,0.72478485,0.18748808
63,vol_regime,0.42542595,0.634408,0.45025468,0.37818122
64,vol_regime,0.36957252,0.69372046,-0.08763957,0.5441539
65,vol_regime,0.46402755,0.56841207,-0.23334652,0.7953172
66,vol_regime,0.54778814,0.15989542,0.21819901,0.77723145
67,vol_regime,0.6259575,0.35453367,0.3247025,0.8218223
68,vol_regime,0.561725,-0.08939469,0.2835641,0.80932546
69,vol_regime,0.38103023,-0.8181734,0.41409874,0.56436324
70,vol_regime,-0.10752808,-0.67955524,0.37550533,-0.25370693
71,vol_regime,0.15200527,-0.35141253,0.5302212,0.046800256
72,vol_regime,0.22294912,0.1432296,0.24563456,0.22489297
73,vol_regime,-0.13293976,0.5959511,0.39700103,-0.51939195
74,vol_regime,-0.14351402,0.46038687,0.439744,-0.5357932
75,vol_regime,0.056610443,0.026838064,0.32366848,-0.071956515
76,vol_regime,0.41558248,0.65744114,0.81331944,0.17640424
77,vol_regime,0.35613188,0.52419996,0.7356529,0.13836002
78,vol_regime,0.1416242,0.22146666,0.72694063,-0.16434109
79,vol_regime,0.52241737,0.7542561,0.6676936,0.4111395
80,vol_regime,-0.30767122,0.45950902,0.5358627,-0.85730153
81,vol_regime,0.07536904,0.8081635,0.86750317,-0.44283044
82,vol_regime,0.104406856,0.5145283,0.8107395,-0.31711304
83,vol_regime,0.29843032,0.45904982,0.57035565,0.13569772
84,vol_regime,0.1915429,0.26448667,0.616513,-0.033099473
85,vol_regime,0.10753627,-0.05929005,0.14726436,0.11547661
86,vol_regime,-0.048701894,0.7942476,-0.055044055,-0.1860224
87,vol_regime,-0.004331744,0.28572202,0.36134863,-0.23551422
88,vol_regime,-0.19334267,0.19464183,0.04461038,-0.37698328
89,vol_regime,-0.09101512,0.27688897,0.2296555,-0.3126678
90,vol_regime,-0.1715292,0.052306175,0.24989879,-0.4195491
91,vol_regime,0.05256915,0.3979318,0.20088696,-0.0791502
92,vol_regime,0.20504254,0.55386436,0.31946778,0.08969295
93,vol_regime,0.5050106,0.42140424,0.71191454,0.415493
94,vol_regime,0.8081046,0.6500561,0.9630617,0.7569674
95,vol_regime,0.7168743,-0.2739972,0.9884101,0.8931384
96,vol_regime,0.7124854,0.015745401,0.9487891,0.70031404
97,vol_regime,0.6953417,0.41533685,0.82804835,0.5772265
98,vol_regime,0.61609244,0.66109693,0.70617783,0.3008318
99,vol_regime,-0.47997642,-0.107666254,0.15831172,-0.8611722
100,vol_regime,-0.70131326,-0.7500754,-0.16445482,-0.96161544
101,vol_regime,-0.40614933,-0.057070315,0.14778113,-0.7412944
102,vol_regime,-0.24949339,-0.447509,0.12947857,-0.40597677
103,vol_regime,-0.180404,-0.93105525,-0.901938,0.30547154
104,vol_regime,-0.045389336,-0.73597807,-0.7261958,0.41011202
105,vol_regime,0.07035507,-0.7755257,-0.7238553,0.6084404
106,vol_regime,-0.013470769,-0.9775704,-0.72720397,0.5040791
107,vol_regime,0.05308125,-0.982441,-0.6277335,0.5660757
108,vol_regime,0.036210947,-0.9443593,-0.27678925,0.35613942
109,vol_regime,-0.08660485,-0.81707406,-0.43843013,0.21105266
110,vol_regime,-0.4176616,-0.8874974,-0.64210224,-0.2271353
111,vol_regime,-0.19394241,-0.8310679,-0.6614838,0.14601588
112,vol_regime,-0.35257626,-0.83896345,-0.4045946,-0.24550253
113,vol_regime,-0.026482414,-0.41073865,-0.526148,0.2873931
114,vol_regime,-0.06764312,-0.9065663,-0.04596728,0.061339498
115,vol_regime,-0.15558012,-0.93780524,0.0807662,-0.14338243
116,vol_regime,-0.18769297,-0.9277556,0.2649225,-0.29065692
117,vol_regime,-0.26717332,-0.70304257,0.56420314,-0.6102167
118,vol_regime,-0.31803423,-0.95343107,0.018370032,-0.38033688
119,vol_regime,-0.26026788,-0.909422,0.43509042,-0.49975467
120,vol_regime,-0.08463311,-0.7233547,0.62931263,-0.3351524
121,vol_regime,-0.14663097,-0.407979,0.6895561,-0.5211665
122,vol_regime,0.19439182,0.59667325,0.90521336,-0.22806585
123,vol_regime,-0.515042,-0.95629144,0.089903474,-0.7439732
124,vol_regime,-0.37351978,0.4672897,0.52304757,-0.9619384
125,vol_regime,-0.5613155,-0.67406875,-0.7542169,-0.44607258
126,vol_regime,-0.3379373,-0.19395715,-0.3360405,-0.36288238
127,vol_regime,0.3581988,0.5105052,0.50845623,0.25768566
128,vol_regime,0.33986104,0.8048421,0.5451479,0.15972078
129,vol_regime,0.5545926,0.38587165,0.626734,0.54664207
130,vol_regime,0.5015427,-0.16973877,0.5453961,0.5914962
131,vol_regime,0.5037081,-0.4300381,0.8278626,0.4972552
132,vol_regime,0.41248834,-0.84690464,0.6874367,0.484913
133,vol_regime,0.1745011,-0.5954287,0.19558907,0.29227877
134,vol_regime,-0.365471,0.9528767,-0.6812888,-0.42728674
135,vol_regime,-0.53055316,0.9549494,-0.6687861,-0.70902044
136,vol_regime,0.1200014,0.8721461,0.65033543,-0.27052307
137,vol_regime,0.093158886,0.68286586,0.6648774,-0.29098487
138,vol_regime,-0.14899859,0.13384199,0.9052746,-0.7232753
139,vol_regime,0.13651931,0.71040726,0.9531696,-0.3674538
140,vol_regime,0.26296747,0.79478157,0.9001107,-0.14423984
141,vol_regime,0.11069878,0.58659065,-0.1528902,0.16317797
142,vol_regime,0.41034043,0.9783747,0.67221594,0.18473029
143,vol_regime,0.64558166,0.9427247,0.35167098,0.74301314
144,vol_regime,0.6195732,0.9021647,0.27230716,0.7461076
145,vol_regime,0.4455441,0.9503448,0.22518241,0.47159147
146,vol_regime,0.7908951,0.96899986,0.42233276,0.94549215
147,vol_regime,0.89299417,0.7761681,0.7652793,0.97632265
148,vol_regime,0.78479874,0.796469,0.41570318,0.9674015
149,vol_regime,0.6594347,0.8299823,0.25889683,0.83127904
150,vol_regime,0.3839122,0.75716305,0.10738778,0.45996594
151,vol_regime,0.49144053,0.771508,0.09592521,0.6425203
152,vol_regime,0.42168462,0.5434933,-0.013749719,0.61910033
153,vol_regime,0.6933262,0.4284159,0.54051113,0.81388545
154,vol_regime,0.7686065,0.23468268,0.66821957,0.9077872
155,vol_regime,0.38013884,0.38989186,0.2325306,0.45231748
156,vol_regime,0.9536425,0.81612813,0.9705595,0.96810305
157,vol_regime,0.6804882,-0.0012430549,0.92645776,0.6711253
158,vol_regime,0.68385434,0.6469188,0.9044925,0.5796912
159,vol_regime,0.5551788,0.47100258,0.8787668,0.4074142
160,vol_regime,0.68333346,0.6630206,0.87198615,0.59239256
161,vol_regime,0.33398715,0.3194406,0.7273594,0.13972545
162,vol_regime,0.42834163,0.89828885,0.4459989,0.34118843
163,vol_regime,0.17607738,0.7177639,0.14685476,0.1004076
164,vol_regime,0.24363819,0.64612603,0.28843355,0.15415919
165,vol_regime,0.25684404,0.73786604,0.20006216,0.20506465
166,vol_regime,0.15539724,0.09342992,-0.4824292,0.48463833
167,vol_regime,0.25699863,-0.20930803,0.07925248,0.42358947
168,vol_regime,0.250711,-0.37043875,-0.2786306,0.61890674
169,vol_regime,-0.08214473,0.0065557957,-0.24826378,-0.01386863
170,vol_regime,-0.26159787,0.5381681,-0.66974837,-0.19081694
171,vol_regime,-0.14234413,0.80282664,-0.60668164,-0.06770384
172,vol_regime,-0.27221456,-0.36800617,-0.44656968,-0.16907173
173,vol_regime,0.25268972,-0.8632939,0.08040631,0.5248287
